"Death_Mode","PubMed_Term_Screen_Count_Initial","Live_PubMed_Count_Requery_2026_05_22","First_PubMed_Year_Live_Requery","First_Year_Live_PubMed_Count","Kept_After_Initial_Screen","Manual_Keep","Initial_Screen_Status","Selection_Rationale","Final_Selected_Death_Modes_2000_2025_Figure_Set","Pair_Atlas_Unique_PMIDs","First_PubYear_In_Pair_Atlas","First_Year_PMID_Count","PubMed_Query","category","Notes","aliases"
"Ferroptosis",26603,27361,2012,2,1,,"kept","PubMed total count >= 1000",TRUE,7418,2013,3,"ferroptosis[tiab] OR lipid peroxidation-dependent cell death[tiab]","regulated_cell_death","Iron-lipid ROS dependent",
"Pyroptosis",16018,16363,1993,1,1,,"kept","PubMed total count >= 1000",TRUE,1996,2006,2,"pyroptosis[tiab] OR gasdermin*[tiab]","regulated_cell_death","Inflammasome-caspase-gasdermin axis",
"Necroptosis",9258,9393,2005,2,1,,"kept","PubMed total count >= 1000",TRUE,1311,2005,1,"necroptosis[tiab] OR """"necroptotic""""[tiab]","regulated_cell_death","RIPK1/RIPK3/MLKL axis",
"NETosis",8852,9031,2004,1,1,,"kept","PubMed total count >= 1000",TRUE,3053,2007,4,"NETosis[tiab] OR neutrophil extracellular trap*[tiab]","regulated_cell_death","Neutrophil chromatin extrusion death",
"Immunogenic cell death",5852,5998,2005,2,1,,"kept","PubMed total count >= 1000",TRUE,921,2008,1,"""""immunogenic cell death""""[tiab]","regulated_cell_death","Immune-stimulatory death context",
"Cuproptosis",2632,2714,2020,1,1,,"kept","PubMed total count >= 1000",TRUE,478,2022,69,"cuproptosis[tiab]","regulated_cell_death","Copper-dependent death",
"PANoptosis",1039,1089,2019,1,1,1,"kept","manual_keep=1 despite PubMed count below 1000",TRUE,138,2020,2,"PANoptosis[tiab] OR PANoptotic[tiab] OR PANoptosome[tiab]","regulated_cell_death","Pyroptosis-apoptosis-necroptosis integrated death",
"Disulfidptosis",647,696,2000,1,1,1,"kept","manual_keep=1 despite PubMed count below 1000",TRUE,120,2023,28,"disulfidptosis[tiab] OR """"disulfide stress-induced cell death""""[tiab]","regulated_cell_death","Disulfide stress death",
